,Year 1 (Oct 2023-Sep 2024),Year 2 (Oct 2024-Sep 2025),YoY_change,YoY_pct
Intercept,1609745.489781621,1609745.489781621,0.0,0.0
ACV Weighted Distribution,955986.6819928967,876709.0542214215,-79277.62777147524,-8.292754414340711
Seasonality_Index,1273549.682607938,1273549.682607938,0.0,0.0
Weighted Weeks Feature and Display,156383.3892270468,47620.47620145684,-108762.91302558997,-69.54889107031785
Weighted Weeks Display Only,880404.4697004696,706013.0125778369,-174391.45712263277,-19.808106742343558
Price per Volume,-1960728.0518667633,-1922889.7753092973,37838.276557466015,1.929807477454157
