variable,family,sign,adstock_decay,coef_lower,coef_upper,role
_C_COMPETITOR4__Weighted Weeks Special Pack Only,Competitive,negative,,,,auto
_C_COMPETITOR4__Weighted Weeks Feature and Display,Competitive,negative,,,,auto
_C_COMPETITOR5__Avg Weekly Items per Store Selling,Competitive,negative,,,,auto
_C_COMPETITOR5__ACV Weighted Distribution,Competitive,negative,,,,auto
_C_COMPETITOR5__Weighted Weeks Price Reductions Only,Competitive,negative,,,,auto
_C_COMPETITOR5__Weighted Weeks Feature Only,Competitive,negative,,,,auto
_C_COMPETITOR5__Weighted Weeks Display Only,Competitive,negative,,,,auto
_C_COMPETITOR5__Weighted Weeks Special Pack Only,Competitive,negative,,,,auto
_C_COMPETITOR5__Weighted Weeks Feature and Display,Competitive,negative,,,,auto
_C_COMPETITOR6__Avg Weekly Items per Store Selling,Competitive,negative,,,,auto
_C_COMPETITOR6__ACV Weighted Distribution,Competitive,negative,,,,auto
_C_COMPETITOR6__Weighted Weeks Price Reductions Only,Competitive,negative,,,,auto
_C_COMPETITOR6__Weighted Weeks Feature Only,Competitive,negative,,,,auto
_C_COMPETITOR6__Weighted Weeks Display Only,Competitive,negative,,,,auto
_C_COMPETITOR6__Weighted Weeks Special Pack Only,Competitive,negative,,,,auto
_C_COMPETITOR6__Weighted Weeks Feature and Display,Competitive,negative,,,,auto
