brand,channel,n_weeks_train,n_weeks_holdout,n_selected,n_forced,R2,adj_R2,MAPE_in_pct,MAPE_holdout_pct,durbin_watson,n_sign_conflicts,top_positive_driver,top_negative_driver
Brand 10,Channel 9,104,13,10,1,0.9429,0.9368,6.81,15.96,1.301,0,UMCSENT,Price per Volume
Brand 4,Channel 9,104,13,8,1,0.8677,0.8565,2.82,16.78,1.01,0,Seasonality_Index,T5YIE
Brand 6,Channel 1,104,13,9,1,0.8567,0.843,2.35,17.26,1.479,0,Seasonality_Index,SNAP_Participants
Brand 2,Channel 2,104,13,12,1,0.9462,0.9392,10.05,17.64,1.399,0,T5YIE,Gas_Price
Brand 6,Channel 3,104,13,5,1,0.8549,0.8475,12.53,18.62,1.274,0,ACV Weighted Distribution,Price per Volume
Brand 1,Channel 2,104,13,8,1,0.9068,0.899,9.68,20.33,0.809,0,SNAP_Participants,Brand 1_Absco_Spend
Brand 5,Channel 5,104,13,4,1,0.8161,0.8087,8.67,20.48,1.564,0,ACV Weighted Distribution,Weighted Weeks Price Reductions Only
Brand 9,Channel 3,104,13,8,1,0.6983,0.6729,6.37,20.59,1.571,0,ACV Weighted Distribution,_C_COMPETITOR10__ACV Weighted Distribution
Brand 9,Channel 9,104,13,11,1,0.9191,0.9094,12.94,20.89,1.153,0,PSAVERT,Price per Volume
Brand 8,Channel 6,104,13,6,1,0.917,0.9119,12.33,23.24,1.271,0,Unempclaims,_C_COMPETITOR3__Weighted Weeks Price Reductions Only
Brand 4,Channel 1,104,13,7,1,0.7375,0.7184,5.91,23.39,1.195,0,ACV Weighted Distribution,SNAP_Participants
Brand 1,Channel 9,104,13,6,1,0.6492,0.6275,14.71,23.64,0.784,0,ACV Weighted Distribution,Unemployment_Rate
Brand 2,Channel 4,104,13,4,1,0.8842,0.8795,7.86,24.54,0.944,0,Total Category Price Per Volume,Price per Volume
Brand 7,Channel 7,104,13,6,1,0.953,0.9501,6.67,27.19,1.462,0,Avg Weekly Items per Store Selling,Price per Volume
Brand 9,Channel 2,104,13,8,1,0.9092,0.9015,5.32,30.5,1.612,0,Seasonality_Index,SNAP_Participants
Brand 1,Channel 1,104,13,9,1,0.8282,0.8117,9.96,31.83,1.178,0,ACV Weighted Distribution,T5YIE
Brand 9,Channel 1,104,13,6,1,0.7874,0.7742,7.78,32.67,1.211,0,ACV Weighted Distribution,_C_COMPETITOR10__ACV Weighted Distribution
Brand 2,Channel 7,104,13,3,1,0.775,0.7683,30.33,36.73,2.046,0,ACV Weighted Distribution,Price per Volume
Brand 1,Channel 4,104,13,7,1,0.8124,0.7987,16.35,39.43,0.419,0,Gas_Price,CFNAI
Brand 8,Channel 3,104,13,13,1,0.9261,0.9155,3.53,39.8,1.935,0,Avg Weekly Items per Store Selling,Price per Volume
Brand 1,Channel 3,104,13,7,1,0.8828,0.8742,11.64,44.71,1.458,0,ACV Weighted Distribution,Price per Volume
Brand 8,Channel 1,104,13,13,1,0.9369,0.9277,2.19,51.15,1.706,0,PCEC96,_C_COMPETITOR1__ACV Weighted Distribution
Brand 4,Channel 4,104,13,9,1,0.7434,0.7188,9.65,55.38,1.021,0,ACV Weighted Distribution,SNAP_Participants
Brand 7,Channel 9,104,13,7,1,0.7903,0.775,7.2,58.78,1.444,1,Seasonality_Index,Price per Volume
Brand 6,Channel 4,104,13,10,1,0.9414,0.9351,34.27,132.96,2.123,0,Unemployment_Rate,_C_COMPETITOR3__ACV Weighted Distribution
Brand 6,Channel 6,104,5,5,1,0.6638,0.6466,72.29,135.96,1.723,0,Unempclaims,Price per Volume
Brand 8,Channel 7,104,13,5,1,0.9276,0.9239,4.47,144.63,1.013,0,ACV Weighted Distribution,_C_COMPETITOR1__Avg Weekly Items per Store Selling
Brand 1,Channel 7,104,13,5,1,0.9638,0.962,3.94,304.25,1.121,0,ACV Weighted Distribution,PSAVERT
Brand 6,Channel 2,104,13,7,1,0.8847,0.8763,19.76,377.77,1.891,0,Total Category Price Per Volume,Price per Volume
Brand 1,Channel 6,104,13,3,1,0.9413,0.9396,230.1,,0.596,0,ACV Weighted Distribution,T5YIE
Brand 1,Channel 8,25,0,3,1,0.7616,0.7276,96.1,,2.003,0,ACV Weighted Distribution,PCEC96
Brand 2,Channel 5,104,13,6,1,0.9982,0.9981,18.14,,0.909,0,ACV Weighted Distribution,Unemployment_Rate
Brand 2,Channel 8,25,0,4,1,0.8331,0.7997,4.61,,2.121,0,Fedfunds,_C_Competitor8__Avg Weekly Items per Store Selling
Brand 6,Channel 9,104,0,4,1,0.5619,0.5442,4.4,,0.938,1,Seasonality_Index,ACV Weighted Distribution
Brand 9,Channel 6,67,0,5,1,0.9495,0.9454,16.97,,1.733,0,ACV Weighted Distribution,Price per Volume
